No,Company,Position,Salary,BizReach_Jobs_URL,Focus
1,Arent Inc,DX / Revit Add-in PM,8M - 15M,https://www.bizreach.jp/jobs/8219341/,Revit API & Automation (Highly Recommended)
2,Nikken Sekkei,BIM/ICT ICT Engineer,8M - 12M,https://www.bizreach.jp/jobs/7723451/,Leading Architecture Firm DX
3,Nohara Group,BIM Solution Consultant,7M - 12M,https://www.bizreach.jp/jobs/8310982/,BIM Platform BuildApp DX
4,Tokyu Construction,BIM Production DX (AI/IT),6M - 11M,https://www.bizreach.jp/jobs/8422331/,Construction Site BIM Automation
5,DaisNext (Daiwa House),BIM DX Promotion,6M - 9.5M,https://www.bizreach.jp/jobs/8188776/,BIM-based Workflow Integration
6,mign,AI BIM System Developer,6M - 11M,https://www.bizreach.jp/jobs/8455667/,Generative AI in Architecture
7,Obayashi Corp,Construction DX & AI Engineer,8.5M - 14M,https://www.bizreach.jp/jobs/8354210/,Automated Construction DX
8,Applied Technology,Revit API Engineer,6M - 9M,https://www.bizreach.jp/jobs/8377662/,Revit Add-in & Forge Development
9,Kume Sekkei,Project BIM Manager,7M - 10M,https://www.bizreach.jp/jobs/8299881/,BIM Standardization & Management
10,Mitsubishi Jisho,BIM/ICT Smart Building,8M - 12M,https://www.bizreach.jp/jobs/8155443/,Data-driven Smart City/Building
